109, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s0.4_00, s0.4_10, s0.4_01, s0.5_00, s0.5_10, s0.5_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s1.4_00, s1.4_10, s1.4_01, s1.5_00, s1.5_10, s1.5_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s2.4_00, s2.4_10, s2.4_01, s2.5_00, s2.5_10, s2.5_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, s3.4_00, s3.4_10, s3.4_01, s3.5_00, s3.5_10, s3.5_01, s4.0_00, s4.0_10, s4.0_01, s4.1_00, s4.1_10, s4.1_01, s4.2_00, s4.2_10, s4.2_01, s4.3_00, s4.3_10, s4.3_01, s4.4_00, s4.4_10, s4.4_01, s4.5_00, s4.5_10, s4.5_01, s5.0_00, s5.0_10, s5.0_01, s5.1_00, s5.1_10, s5.1_01, s5.2_00, s5.2_10, s5.2_01, s5.3_00, s5.3_10, s5.3_01, s5.4_00, s5.4_10, s5.4_01, s5.5_00, s5.5_10, s5.5_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
3,50,2 -> 1
3,51,2 -> 1
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
3,64,2 -> 1
3,65,2 -> 1
3,66,2 -> 1
3,67,2 -> 1
3,68,2 -> 1
3,69,2 -> 1
3,70,2 -> 1
3,71,2 -> 1
3,72,2 -> 1
3,73,2 -> 1
3,74,2 -> 1
3,75,2 -> 1
3,76,2 -> 1
3,77,2 -> 1
3,78,2 -> 1
3,79,2 -> 1
3,80,2 -> 1
3,81,2 -> 1
3,82,2 -> 1
3,83,2 -> 1
3,84,2 -> 1
3,85,2 -> 1
3,86,2 -> 1
3,87,2 -> 1
3,88,2 -> 1
3,89,2 -> 1
3,90,2 -> 1
3,91,2 -> 1
3,92,2 -> 1
3,93,2 -> 1
3,94,2 -> 1
3,95,2 -> 1
3,96,2 -> 1
3,97,2 -> 1
3,98,2 -> 1
3,99,2 -> 1
3,100,2 -> 1
3,101,2 -> 1
3,102,2 -> 1
3,103,2 -> 1
3,104,2 -> 1
3,105,2 -> 1
3,106,2 -> 1
3,107,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
4,64,2 -> 1
4,65,2 -> 1
4,66,2 -> 1
4,67,2 -> 1
4,68,2 -> 1
4,69,2 -> 1
4,70,2 -> 1
4,71,2 -> 1
4,72,2 -> 1
4,73,2 -> 1
4,74,2 -> 1
4,75,2 -> 1
4,76,2 -> 1
4,77,2 -> 1
4,78,2 -> 1
4,79,2 -> 1
4,80,2 -> 1
4,81,2 -> 1
4,82,2 -> 1
4,83,2 -> 1
4,84,2 -> 1
4,85,2 -> 1
4,86,2 -> 1
4,87,2 -> 1
4,88,2 -> 1
4,89,2 -> 1
4,90,2 -> 1
4,91,2 -> 1
4,92,2 -> 1
4,93,2 -> 1
4,94,2 -> 1
4,95,2 -> 1
4,96,2 -> 1
4,97,2 -> 1
4,98,2 -> 1
4,99,2 -> 1
4,100,2 -> 1
4,101,2 -> 1
4,102,2 -> 1
4,103,2 -> 1
4,104,2 -> 1
4,105,2 -> 1
4,106,2 -> 1
4,107,2 -> 1
5,0,0 -> 0.760109
5,0,1 -> 0.239891
5,1,1 -> 0.760109
5,1,0 -> 0.239891
5,2,0 -> 0.760109
5,2,1 -> 0.239891
5,3,0 -> 0.79826
5,3,1 -> 0.20174
5,4,1 -> 0.79826
5,4,0 -> 0.20174
5,5,0 -> 0.79826
5,5,1 -> 0.20174
5,6,0 -> 0.81498
5,6,1 -> 0.18502
5,7,1 -> 0.81498
5,7,0 -> 0.18502
5,8,0 -> 0.81498
5,8,1 -> 0.18502
5,9,0 -> 0.79826
5,9,1 -> 0.20174
5,10,1 -> 0.79826
5,10,0 -> 0.20174
5,11,0 -> 0.79826
5,11,1 -> 0.20174
5,12,0 -> 0.760109
5,12,1 -> 0.239891
5,13,1 -> 0.760109
5,13,0 -> 0.239891
5,14,0 -> 0.760109
5,14,1 -> 0.239891
5,15,0 -> 0.717359
5,15,1 -> 0.282641
5,16,1 -> 0.717359
5,16,0 -> 0.282641
5,17,0 -> 0.717359
5,17,1 -> 0.282641
5,18,0 -> 0.79826
5,18,1 -> 0.20174
5,19,1 -> 0.79826
5,19,0 -> 0.20174
5,20,0 -> 0.79826
5,20,1 -> 0.20174
5,21,0 -> 0.860631
5,21,1 -> 0.139369
5,22,1 -> 0.860631
5,22,0 -> 0.139369
5,23,0 -> 0.860631
5,23,1 -> 0.139369
5,24,0 -> 0.89685
5,24,1 -> 0.10315
5,25,1 -> 0.89685
5,25,0 -> 0.10315
5,26,0 -> 0.89685
5,26,1 -> 0.10315
5,27,0 -> 0.860631
5,27,1 -> 0.139369
5,28,1 -> 0.860631
5,28,0 -> 0.139369
5,29,0 -> 0.860631
5,29,1 -> 0.139369
5,30,0 -> 0.79826
5,30,1 -> 0.20174
5,31,1 -> 0.79826
5,31,0 -> 0.20174
5,32,0 -> 0.79826
5,32,1 -> 0.20174
5,33,0 -> 0.7408
5,33,1 -> 0.2592
5,34,1 -> 0.7408
5,34,0 -> 0.2592
5,35,0 -> 0.7408
5,35,1 -> 0.2592
5,36,0 -> 0.81498
5,36,1 -> 0.18502
5,37,1 -> 0.81498
5,37,0 -> 0.18502
5,38,0 -> 0.81498
5,38,1 -> 0.18502
5,39,0 -> 0.89685
5,39,1 -> 0.10315
5,40,1 -> 0.89685
5,40,0 -> 0.10315
5,41,0 -> 0.89685
5,41,1 -> 0.10315
5,42,0 -> 1.0
5,42,1 -> 0.0
5,43,1 -> 1.0
5,43,0 -> 0.0
5,44,0 -> 1.0
5,44,1 -> 0.0
5,45,0 -> 0.89685
5,45,1 -> 0.10315
5,46,1 -> 0.89685
5,46,0 -> 0.10315
5,47,0 -> 0.89685
5,47,1 -> 0.10315
5,48,0 -> 0.81498
5,48,1 -> 0.18502
5,49,1 -> 0.81498
5,49,0 -> 0.18502
5,50,0 -> 0.81498
5,50,1 -> 0.18502
5,51,0 -> 0.75
5,51,1 -> 0.25
5,52,1 -> 0.75
5,52,0 -> 0.25
5,53,0 -> 0.75
5,53,1 -> 0.25
5,54,0 -> 0.79826
5,54,1 -> 0.20174
5,55,1 -> 0.79826
5,55,0 -> 0.20174
5,56,0 -> 0.79826
5,56,1 -> 0.20174
5,57,0 -> 0.860631
5,57,1 -> 0.139369
5,58,1 -> 0.860631
5,58,0 -> 0.139369
5,59,0 -> 0.860631
5,59,1 -> 0.139369
5,60,0 -> 0.89685
5,60,1 -> 0.10315
5,61,1 -> 0.89685
5,61,0 -> 0.10315
5,62,0 -> 0.89685
5,62,1 -> 0.10315
5,63,0 -> 0.860631
5,63,1 -> 0.139369
5,64,1 -> 0.860631
5,64,0 -> 0.139369
5,65,0 -> 0.860631
5,65,1 -> 0.139369
5,66,0 -> 0.79826
5,66,1 -> 0.20174
5,67,1 -> 0.79826
5,67,0 -> 0.20174
5,68,0 -> 0.79826
5,68,1 -> 0.20174
5,69,0 -> 0.7408
5,69,1 -> 0.2592
5,70,1 -> 0.7408
5,70,0 -> 0.2592
5,71,0 -> 0.7408
5,71,1 -> 0.2592
5,72,0 -> 0.760109
5,72,1 -> 0.239891
5,73,1 -> 0.760109
5,73,0 -> 0.239891
5,74,0 -> 0.760109
5,74,1 -> 0.239891
5,75,0 -> 0.79826
5,75,1 -> 0.20174
5,76,1 -> 0.79826
5,76,0 -> 0.20174
5,77,0 -> 0.79826
5,77,1 -> 0.20174
5,78,0 -> 0.81498
5,78,1 -> 0.18502
5,79,1 -> 0.81498
5,79,0 -> 0.18502
5,80,0 -> 0.81498
5,80,1 -> 0.18502
5,81,0 -> 0.79826
5,81,1 -> 0.20174
5,82,1 -> 0.79826
5,82,0 -> 0.20174
5,83,0 -> 0.79826
5,83,1 -> 0.20174
5,84,0 -> 0.760109
5,84,1 -> 0.239891
5,85,1 -> 0.760109
5,85,0 -> 0.239891
5,86,0 -> 0.760109
5,86,1 -> 0.239891
5,87,0 -> 0.717359
5,87,1 -> 0.282641
5,88,1 -> 0.717359
5,88,0 -> 0.282641
5,89,0 -> 0.717359
5,89,1 -> 0.282641
5,90,0 -> 0.717359
5,90,1 -> 0.282641
5,91,1 -> 0.717359
5,91,0 -> 0.282641
5,92,0 -> 0.717359
5,92,1 -> 0.282641
5,93,0 -> 0.7408
5,93,1 -> 0.2592
5,94,1 -> 0.7408
5,94,0 -> 0.2592
5,95,0 -> 0.7408
5,95,1 -> 0.2592
5,96,0 -> 0.75
5,96,1 -> 0.25
5,97,1 -> 0.75
5,97,0 -> 0.25
5,98,0 -> 0.75
5,98,1 -> 0.25
5,99,0 -> 0.7408
5,99,1 -> 0.2592
5,100,1 -> 0.7408
5,100,0 -> 0.2592
5,101,0 -> 0.7408
5,101,1 -> 0.2592
5,102,0 -> 0.717359
5,102,1 -> 0.282641
5,103,1 -> 0.717359
5,103,0 -> 0.282641
5,104,0 -> 0.717359
5,104,1 -> 0.282641
5,105,0 -> 0.687607
5,105,1 -> 0.312393
5,106,1 -> 0.687607
5,106,0 -> 0.312393
5,107,0 -> 0.687607
5,107,1 -> 0.312393
6,0,0 -> 0.860631
6,0,1 -> 0.139369
6,1,0 -> 0.860631
6,1,1 -> 0.139369
6,2,1 -> 0.860631
6,2,0 -> 0.139369
6,3,0 -> 0.89685
6,3,1 -> 0.10315
6,4,0 -> 0.89685
6,4,1 -> 0.10315
6,5,1 -> 0.89685
6,5,0 -> 0.10315
6,6,0 -> 0.860631
6,6,1 -> 0.139369
6,7,0 -> 0.860631
6,7,1 -> 0.139369
6,8,1 -> 0.860631
6,8,0 -> 0.139369
6,9,0 -> 0.79826
6,9,1 -> 0.20174
6,10,0 -> 0.79826
6,10,1 -> 0.20174
6,11,1 -> 0.79826
6,11,0 -> 0.20174
6,12,0 -> 0.7408
6,12,1 -> 0.2592
6,13,0 -> 0.7408
6,13,1 -> 0.2592
6,14,1 -> 0.7408
6,14,0 -> 0.2592
6,15,0 -> 0.692861
6,15,1 -> 0.307139
6,16,0 -> 0.692861
6,16,1 -> 0.307139
6,17,1 -> 0.692861
6,17,0 -> 0.307139
6,18,0 -> 0.89685
6,18,1 -> 0.10315
6,19,0 -> 0.89685
6,19,1 -> 0.10315
6,20,1 -> 0.89685
6,20,0 -> 0.10315
6,21,0 -> 1.0
6,21,1 -> 0.0
6,22,0 -> 1.0
6,22,1 -> 0.0
6,23,1 -> 1.0
6,23,0 -> 0.0
6,24,0 -> 0.89685
6,24,1 -> 0.10315
6,25,0 -> 0.89685
6,25,1 -> 0.10315
6,26,1 -> 0.89685
6,26,0 -> 0.10315
6,27,0 -> 0.81498
6,27,1 -> 0.18502
6,28,0 -> 0.81498
6,28,1 -> 0.18502
6,29,1 -> 0.81498
6,29,0 -> 0.18502
6,30,0 -> 0.75
6,30,1 -> 0.25
6,31,0 -> 0.75
6,31,1 -> 0.25
6,32,1 -> 0.75
6,32,0 -> 0.25
6,33,0 -> 0.698425
6,33,1 -> 0.301575
6,34,0 -> 0.698425
6,34,1 -> 0.301575
6,35,1 -> 0.698425
6,35,0 -> 0.301575
6,36,0 -> 0.860631
6,36,1 -> 0.139369
6,37,0 -> 0.860631
6,37,1 -> 0.139369
6,38,1 -> 0.860631
6,38,0 -> 0.139369
6,39,0 -> 0.89685
6,39,1 -> 0.10315
6,40,0 -> 0.89685
6,40,1 -> 0.10315
6,41,1 -> 0.89685
6,41,0 -> 0.10315
6,42,0 -> 0.860631
6,42,1 -> 0.139369
6,43,0 -> 0.860631
6,43,1 -> 0.139369
6,44,1 -> 0.860631
6,44,0 -> 0.139369
6,45,0 -> 0.79826
6,45,1 -> 0.20174
6,46,0 -> 0.79826
6,46,1 -> 0.20174
6,47,1 -> 0.79826
6,47,0 -> 0.20174
6,48,0 -> 0.7408
6,48,1 -> 0.2592
6,49,0 -> 0.7408
6,49,1 -> 0.2592
6,50,1 -> 0.7408
6,50,0 -> 0.2592
6,51,0 -> 0.692861
6,51,1 -> 0.307139
6,52,0 -> 0.692861
6,52,1 -> 0.307139
6,53,1 -> 0.692861
6,53,0 -> 0.307139
6,54,0 -> 0.79826
6,54,1 -> 0.20174
6,55,0 -> 0.79826
6,55,1 -> 0.20174
6,56,1 -> 0.79826
6,56,0 -> 0.20174
6,57,0 -> 0.81498
6,57,1 -> 0.18502
6,58,0 -> 0.81498
6,58,1 -> 0.18502
6,59,1 -> 0.81498
6,59,0 -> 0.18502
6,60,0 -> 0.79826
6,60,1 -> 0.20174
6,61,0 -> 0.79826
6,61,1 -> 0.20174
6,62,1 -> 0.79826
6,62,0 -> 0.20174
6,63,0 -> 0.760109
6,63,1 -> 0.239891
6,64,0 -> 0.760109
6,64,1 -> 0.239891
6,65,1 -> 0.760109
6,65,0 -> 0.239891
6,66,0 -> 0.717359
6,66,1 -> 0.282641
6,67,0 -> 0.717359
6,67,1 -> 0.282641
6,68,1 -> 0.717359
6,68,0 -> 0.282641
6,69,0 -> 0.677918
6,69,1 -> 0.322082
6,70,0 -> 0.677918
6,70,1 -> 0.322082
6,71,1 -> 0.677918
6,71,0 -> 0.322082
6,72,0 -> 0.7408
6,72,1 -> 0.2592
6,73,0 -> 0.7408
6,73,1 -> 0.2592
6,74,1 -> 0.7408
6,74,0 -> 0.2592
6,75,0 -> 0.75
6,75,1 -> 0.25
6,76,0 -> 0.75
6,76,1 -> 0.25
6,77,1 -> 0.75
6,77,0 -> 0.25
6,78,0 -> 0.7408
6,78,1 -> 0.2592
6,79,0 -> 0.7408
6,79,1 -> 0.2592
6,80,1 -> 0.7408
6,80,0 -> 0.2592
6,81,0 -> 0.717359
6,81,1 -> 0.282641
6,82,0 -> 0.717359
6,82,1 -> 0.282641
6,83,1 -> 0.717359
6,83,0 -> 0.282641
6,84,0 -> 0.687607
6,84,1 -> 0.312393
6,85,0 -> 0.687607
6,85,1 -> 0.312393
6,86,1 -> 0.687607
6,86,0 -> 0.312393
6,87,0 -> 0.65749
6,87,1 -> 0.34251
6,88,0 -> 0.65749
6,88,1 -> 0.34251
6,89,1 -> 0.65749
6,89,0 -> 0.34251
6,90,0 -> 0.692861
6,90,1 -> 0.307139
6,91,0 -> 0.692861
6,91,1 -> 0.307139
6,92,1 -> 0.692861
6,92,0 -> 0.307139
6,93,0 -> 0.698425
6,93,1 -> 0.301575
6,94,0 -> 0.698425
6,94,1 -> 0.301575
6,95,1 -> 0.698425
6,95,0 -> 0.301575
6,96,0 -> 0.692861
6,96,1 -> 0.307139
6,97,0 -> 0.692861
6,97,1 -> 0.307139
6,98,1 -> 0.692861
6,98,0 -> 0.307139
6,99,0 -> 0.677918
6,99,1 -> 0.322082
6,100,0 -> 0.677918
6,100,1 -> 0.322082
6,101,1 -> 0.677918
6,101,0 -> 0.322082
6,102,0 -> 0.65749
6,102,1 -> 0.34251
6,103,0 -> 0.65749
6,103,1 -> 0.34251
6,104,1 -> 0.65749
6,104,0 -> 0.34251
6,105,0 -> 0.635314
6,105,1 -> 0.364686
6,106,0 -> 0.635314
6,106,1 -> 0.364686
6,107,1 -> 0.635314
6,107,0 -> 0.364686
_,108,2 -> 1

# Reward function (s,a -> r)
15,2 -> 10
16,2 -> 10
17,2 -> 10
21,4 -> -10
22,4 -> -10
23,4 -> 10
33,2 -> 10
34,2 -> 10
35,2 -> 10
42,4 -> -10
43,4 -> 10
44,4 -> -10
51,2 -> 10
52,2 -> 10
53,2 -> 10
69,2 -> 10
70,2 -> 10
71,2 -> 10
87,2 -> 10
88,2 -> 10
89,2 -> 10
105,2 -> 10
106,2 -> 10
107,2 -> 10

# Initial tuples (n,s)
0,1
0,2
