73, [s0.0_000, s0.0_100, s0.0_010, s0.0_001, s0.0_110, s0.0_101, s0.0_011, s0.0_111, s0.1_000, s0.1_100, s0.1_010, s0.1_001, s0.1_110, s0.1_101, s0.1_011, s0.1_111, s0.2_000, s0.2_100, s0.2_010, s0.2_001, s0.2_110, s0.2_101, s0.2_011, s0.2_111, s1.0_000, s1.0_100, s1.0_010, s1.0_001, s1.0_110, s1.0_101, s1.0_011, s1.0_111, s1.1_000, s1.1_100, s1.1_010, s1.1_001, s1.1_110, s1.1_101, s1.1_011, s1.1_111, s1.2_000, s1.2_100, s1.2_010, s1.2_001, s1.2_110, s1.2_101, s1.2_011, s1.2_111, s2.0_000, s2.0_100, s2.0_010, s2.0_001, s2.0_110, s2.0_101, s2.0_011, s2.0_111, s2.1_000, s2.1_100, s2.1_010, s2.1_001, s2.1_110, s2.1_101, s2.1_011, s2.1_111, s2.2_000, s2.2_100, s2.2_010, s2.2_001, s2.2_110, s2.2_101, s2.2_011, s2.2_111, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
6,21,0 -> 0.687607
6,21,1 -> 0.312393
6,22,1 -> 0.687607
6,22,0 -> 0.312393
6,23,1 -> 0.687607
6,23,0 -> 0.312393
6,24,0 -> 0.75
6,24,1 -> 0.25
6,25,0 -> 0.75
6,25,1 -> 0.25
6,26,1 -> 0.75
6,26,0 -> 0.25
6,27,0 -> 0.75
6,27,1 -> 0.25
6,28,1 -> 0.75
6,28,0 -> 0.25
6,29,0 -> 0.75
6,29,1 -> 0.25
6,30,1 -> 0.75
6,30,0 -> 0.25
6,31,1 -> 0.75
6,31,0 -> 0.25
6,32,0 -> 1.0
6,32,1 -> 0.0
6,33,0 -> 1.0
6,33,1 -> 0.0
6,34,1 -> 1.0
6,34,0 -> 0.0
6,35,0 -> 1.0
6,35,1 -> 0.0
6,36,1 -> 1.0
6,36,0 -> 0.0
6,37,0 -> 1.0
6,37,1 -> 0.0
6,38,1 -> 1.0
6,38,0 -> 0.0
6,39,1 -> 1.0
6,39,0 -> 0.0
6,40,0 -> 0.75
6,40,1 -> 0.25
6,41,0 -> 0.75
6,41,1 -> 0.25
6,42,1 -> 0.75
6,42,0 -> 0.25
6,43,0 -> 0.75
6,43,1 -> 0.25
6,44,1 -> 0.75
6,44,0 -> 0.25
6,45,0 -> 0.75
6,45,1 -> 0.25
6,46,1 -> 0.75
6,46,0 -> 0.25
6,47,1 -> 0.75
6,47,0 -> 0.25
6,48,0 -> 0.687607
6,48,1 -> 0.312393
6,49,0 -> 0.687607
6,49,1 -> 0.312393
6,50,1 -> 0.687607
6,50,0 -> 0.312393
6,51,0 -> 0.687607
6,51,1 -> 0.312393
6,52,1 -> 0.687607
6,52,0 -> 0.312393
6,53,0 -> 0.687607
6,53,1 -> 0.312393
6,54,1 -> 0.687607
6,54,0 -> 0.312393
6,55,1 -> 0.687607
6,55,0 -> 0.312393
6,56,0 -> 0.75
6,56,1 -> 0.25
6,57,0 -> 0.75
6,57,1 -> 0.25
6,58,1 -> 0.75
6,58,0 -> 0.25
6,59,0 -> 0.75
6,59,1 -> 0.25
6,60,1 -> 0.75
6,60,0 -> 0.25
6,61,0 -> 0.75
6,61,1 -> 0.25
6,62,1 -> 0.75
6,62,0 -> 0.25
6,63,1 -> 0.75
6,63,0 -> 0.25
6,64,0 -> 0.687607
6,64,1 -> 0.312393
6,65,0 -> 0.687607
6,65,1 -> 0.312393
6,66,1 -> 0.687607
6,66,0 -> 0.312393
6,67,0 -> 0.687607
6,67,1 -> 0.312393
6,68,1 -> 0.687607
6,68,0 -> 0.312393
6,69,0 -> 0.687607
6,69,1 -> 0.312393
6,70,1 -> 0.687607
6,70,0 -> 0.312393
6,71,1 -> 0.687607
6,71,0 -> 0.312393
7,0,0 -> 0.625
7,0,1 -> 0.375
7,1,0 -> 0.625
7,1,1 -> 0.375
7,2,0 -> 0.625
7,2,1 -> 0.375
7,3,1 -> 0.625
7,3,0 -> 0.375
7,4,0 -> 0.625
7,4,1 -> 0.375
7,5,1 -> 0.625
7,5,0 -> 0.375
7,6,1 -> 0.625
7,6,0 -> 0.375
7,7,1 -> 0.625
7,7,0 -> 0.375
7,8,0 -> 0.75
7,8,1 -> 0.25
7,9,0 -> 0.75
7,9,1 -> 0.25
7,10,0 -> 0.75
7,10,1 -> 0.25
7,11,1 -> 0.75
7,11,0 -> 0.25
7,12,0 -> 0.75
7,12,1 -> 0.25
7,13,1 -> 0.75
7,13,0 -> 0.25
7,14,1 -> 0.75
7,14,0 -> 0.25
7,15,1 -> 0.75
7,15,0 -> 0.25
7,16,0 -> 1.0
7,16,1 -> 0.0
7,17,0 -> 1.0
7,17,1 -> 0.0
7,18,0 -> 1.0
7,18,1 -> 0.0
7,19,1 -> 1.0
7,19,0 -> 0.0
7,20,0 -> 1.0
7,20,1 -> 0.0
7,21,1 -> 1.0
7,21,0 -> 0.0
7,22,1 -> 1.0
7,22,0 -> 0.0
7,23,1 -> 1.0
7,23,0 -> 0.0
7,24,0 -> 0.606132
7,24,1 -> 0.393868
7,25,0 -> 0.606132
7,25,1 -> 0.393868
7,26,0 -> 0.606132
7,26,1 -> 0.393868
7,27,1 -> 0.606132
7,27,0 -> 0.393868
7,28,0 -> 0.606132
7,28,1 -> 0.393868
7,29,1 -> 0.606132
7,29,0 -> 0.393868
7,30,1 -> 0.606132
7,30,0 -> 0.393868
7,31,1 -> 0.606132
7,31,0 -> 0.393868
7,32,0 -> 0.687607
7,32,1 -> 0.312393
7,33,0 -> 0.687607
7,33,1 -> 0.312393
7,34,0 -> 0.687607
7,34,1 -> 0.312393
7,35,1 -> 0.687607
7,35,0 -> 0.312393
7,36,0 -> 0.687607
7,36,1 -> 0.312393
7,37,1 -> 0.687607
7,37,0 -> 0.312393
7,38,1 -> 0.687607
7,38,0 -> 0.312393
7,39,1 -> 0.687607
7,39,0 -> 0.312393
7,40,0 -> 0.75
7,40,1 -> 0.25
7,41,0 -> 0.75
7,41,1 -> 0.25
7,42,0 -> 0.75
7,42,1 -> 0.25
7,43,1 -> 0.75
7,43,0 -> 0.25
7,44,0 -> 0.75
7,44,1 -> 0.25
7,45,1 -> 0.75
7,45,0 -> 0.25
7,46,1 -> 0.75
7,46,0 -> 0.25
7,47,1 -> 0.75
7,47,0 -> 0.25
7,48,0 -> 0.570393
7,48,1 -> 0.429607
7,49,0 -> 0.570393
7,49,1 -> 0.429607
7,50,0 -> 0.570393
7,50,1 -> 0.429607
7,51,1 -> 0.570393
7,51,0 -> 0.429607
7,52,0 -> 0.570393
7,52,1 -> 0.429607
7,53,1 -> 0.570393
7,53,0 -> 0.429607
7,54,1 -> 0.570393
7,54,0 -> 0.429607
7,55,1 -> 0.570393
7,55,0 -> 0.429607
7,56,0 -> 0.606132
7,56,1 -> 0.393868
7,57,0 -> 0.606132
7,57,1 -> 0.393868
7,58,0 -> 0.606132
7,58,1 -> 0.393868
7,59,1 -> 0.606132
7,59,0 -> 0.393868
7,60,0 -> 0.606132
7,60,1 -> 0.393868
7,61,1 -> 0.606132
7,61,0 -> 0.393868
7,62,1 -> 0.606132
7,62,0 -> 0.393868
7,63,1 -> 0.606132
7,63,0 -> 0.393868
7,64,0 -> 0.625
7,64,1 -> 0.375
7,65,0 -> 0.625
7,65,1 -> 0.375
7,66,0 -> 0.625
7,66,1 -> 0.375
7,67,1 -> 0.625
7,67,0 -> 0.375
7,68,0 -> 0.625
7,68,1 -> 0.375
7,69,1 -> 0.625
7,69,0 -> 0.375
7,70,1 -> 0.625
7,70,0 -> 0.375
7,71,1 -> 0.625
7,71,0 -> 0.375
_,72,2 -> 1

# Reward function (s,a -> r)
16,4 -> -10
17,4 -> -10
18,4 -> -10
19,4 -> 10
20,4 -> -10
21,4 -> 10
22,4 -> 10
23,4 -> 10
16,2 -> 10
17,2 -> 10
18,2 -> 10
19,2 -> 10
20,2 -> 10
21,2 -> 10
22,2 -> 10
23,2 -> 10
32,4 -> -10
33,4 -> -10
34,4 -> 10
35,4 -> -10
36,4 -> 10
37,4 -> -10
38,4 -> 10
39,4 -> 10
40,2 -> 10
41,2 -> 10
42,2 -> 10
43,2 -> 10
44,2 -> 10
45,2 -> 10
46,2 -> 10
47,2 -> 10
48,4 -> -10
49,4 -> 10
50,4 -> -10
51,4 -> -10
52,4 -> 10
53,4 -> 10
54,4 -> -10
55,4 -> 10
64,2 -> 10
65,2 -> 10
66,2 -> 10
67,2 -> 10
68,2 -> 10
69,2 -> 10
70,2 -> 10
71,2 -> 10

# Initial tuples (n,s)
0,7
