145, [s0.0_00000, s0.0_10000, s0.0_01000, s0.0_00100, s0.0_00010, s0.0_00001, s0.0_11000, s0.0_10100, s0.0_10010, s0.0_10001, s0.0_01100, s0.0_01010, s0.0_01001, s0.0_00110, s0.0_00101, s0.0_00011, s0.1_00000, s0.1_10000, s0.1_01000, s0.1_00100, s0.1_00010, s0.1_00001, s0.1_11000, s0.1_10100, s0.1_10010, s0.1_10001, s0.1_01100, s0.1_01010, s0.1_01001, s0.1_00110, s0.1_00101, s0.1_00011, s0.2_00000, s0.2_10000, s0.2_01000, s0.2_00100, s0.2_00010, s0.2_00001, s0.2_11000, s0.2_10100, s0.2_10010, s0.2_10001, s0.2_01100, s0.2_01010, s0.2_01001, s0.2_00110, s0.2_00101, s0.2_00011, s1.0_00000, s1.0_10000, s1.0_01000, s1.0_00100, s1.0_00010, s1.0_00001, s1.0_11000, s1.0_10100, s1.0_10010, s1.0_10001, s1.0_01100, s1.0_01010, s1.0_01001, s1.0_00110, s1.0_00101, s1.0_00011, s1.1_00000, s1.1_10000, s1.1_01000, s1.1_00100, s1.1_00010, s1.1_00001, s1.1_11000, s1.1_10100, s1.1_10010, s1.1_10001, s1.1_01100, s1.1_01010, s1.1_01001, s1.1_00110, s1.1_00101, s1.1_00011, s1.2_00000, s1.2_10000, s1.2_01000, s1.2_00100, s1.2_00010, s1.2_00001, s1.2_11000, s1.2_10100, s1.2_10010, s1.2_10001, s1.2_01100, s1.2_01010, s1.2_01001, s1.2_00110, s1.2_00101, s1.2_00011, s2.0_00000, s2.0_10000, s2.0_01000, s2.0_00100, s2.0_00010, s2.0_00001, s2.0_11000, s2.0_10100, s2.0_10010, s2.0_10001, s2.0_01100, s2.0_01010, s2.0_01001, s2.0_00110, s2.0_00101, s2.0_00011, s2.1_00000, s2.1_10000, s2.1_01000, s2.1_00100, s2.1_00010, s2.1_00001, s2.1_11000, s2.1_10100, s2.1_10010, s2.1_10001, s2.1_01100, s2.1_01010, s2.1_01001, s2.1_00110, s2.1_00101, s2.1_00011, s2.2_00000, s2.2_10000, s2.2_01000, s2.2_00100, s2.2_00010, s2.2_00001, s2.2_11000, s2.2_10100, s2.2_10010, s2.2_10001, s2.2_01100, s2.2_01010, s2.2_01001, s2.2_00110, s2.2_00101, s2.2_00011, exit]
1, [e1]
10, [North, South, East, West, Sample, Check0, Check1, Check2, Check3, Check4]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
103,5,103 -> 1
104,5,104 -> 1
105,5,105 -> 1
106,5,106 -> 1
107,5,107 -> 1
108,5,108 -> 1
109,5,109 -> 1
110,5,110 -> 1
111,5,111 -> 1
96,6,96 -> 1
97,6,97 -> 1
98,6,98 -> 1
99,6,99 -> 1
100,6,100 -> 1
101,6,101 -> 1
102,6,102 -> 1
103,6,103 -> 1
104,6,104 -> 1
105,6,105 -> 1
106,6,106 -> 1
107,6,107 -> 1
108,6,108 -> 1
109,6,109 -> 1
110,6,110 -> 1
111,6,111 -> 1
96,7,96 -> 1
97,7,97 -> 1
98,7,98 -> 1
99,7,99 -> 1
100,7,100 -> 1
101,7,101 -> 1
102,7,102 -> 1
103,7,103 -> 1
104,7,104 -> 1
105,7,105 -> 1
106,7,106 -> 1
107,7,107 -> 1
108,7,108 -> 1
109,7,109 -> 1
110,7,110 -> 1
111,7,111 -> 1
96,8,96 -> 1
97,8,97 -> 1
98,8,98 -> 1
99,8,99 -> 1
100,8,100 -> 1
101,8,101 -> 1
102,8,102 -> 1
103,8,103 -> 1
104,8,104 -> 1
105,8,105 -> 1
106,8,106 -> 1
107,8,107 -> 1
108,8,108 -> 1
109,8,109 -> 1
110,8,110 -> 1
111,8,111 -> 1
96,9,96 -> 1
97,9,97 -> 1
98,9,98 -> 1
99,9,99 -> 1
100,9,100 -> 1
101,9,101 -> 1
102,9,102 -> 1
103,9,103 -> 1
104,9,104 -> 1
105,9,105 -> 1
106,9,106 -> 1
107,9,107 -> 1
108,9,108 -> 1
109,9,109 -> 1
110,9,110 -> 1
111,9,111 -> 1
112,0,112 -> 1
112,1,64 -> 1
112,2,128 -> 1
112,3,96 -> 1
113,0,113 -> 1
113,1,65 -> 1
113,2,129 -> 1
113,3,97 -> 1
114,0,114 -> 1
114,1,66 -> 1
114,2,130 -> 1
114,3,98 -> 1
115,0,115 -> 1
115,1,67 -> 1
115,2,131 -> 1
115,3,99 -> 1
116,0,116 -> 1
116,1,68 -> 1
116,2,132 -> 1
116,3,100 -> 1
117,0,117 -> 1
117,1,69 -> 1
117,2,133 -> 1
117,3,101 -> 1
118,0,118 -> 1
118,1,70 -> 1
118,2,134 -> 1
118,3,102 -> 1
119,0,119 -> 1
119,1,71 -> 1
119,2,135 -> 1
119,3,103 -> 1
120,0,120 -> 1
120,1,72 -> 1
120,2,136 -> 1
120,3,104 -> 1
121,0,121 -> 1
121,1,73 -> 1
121,2,137 -> 1
121,3,105 -> 1
122,0,122 -> 1
122,1,74 -> 1
122,2,138 -> 1
122,3,106 -> 1
123,0,123 -> 1
123,1,75 -> 1
123,2,139 -> 1
123,3,107 -> 1
124,0,124 -> 1
124,1,76 -> 1
124,2,140 -> 1
124,3,108 -> 1
125,0,125 -> 1
125,1,77 -> 1
125,2,141 -> 1
125,3,109 -> 1
126,0,126 -> 1
126,1,78 -> 1
126,2,142 -> 1
126,3,110 -> 1
127,0,127 -> 1
127,1,79 -> 1
127,2,143 -> 1
127,3,111 -> 1
112,4,112 -> 1
113,4,113 -> 1
114,4,114 -> 1
115,4,115 -> 1
116,4,116 -> 1
117,4,117 -> 1
118,4,118 -> 1
119,4,119 -> 1
120,4,120 -> 1
121,4,121 -> 1
122,4,122 -> 1
123,4,123 -> 1
124,4,124 -> 1
125,4,125 -> 1
126,4,126 -> 1
127,4,127 -> 1
112,5,112 -> 1
113,5,113 -> 1
114,5,114 -> 1
115,5,115 -> 1
116,5,116 -> 1
117,5,117 -> 1
118,5,118 -> 1
119,5,119 -> 1
120,5,120 -> 1
121,5,121 -> 1
122,5,122 -> 1
123,5,123 -> 1
124,5,124 -> 1
125,5,125 -> 1
126,5,126 -> 1
127,5,127 -> 1
112,6,112 -> 1
113,6,113 -> 1
114,6,114 -> 1
115,6,115 -> 1
116,6,116 -> 1
117,6,117 -> 1
118,6,118 -> 1
119,6,119 -> 1
120,6,120 -> 1
121,6,121 -> 1
122,6,122 -> 1
123,6,123 -> 1
124,6,124 -> 1
125,6,125 -> 1
126,6,126 -> 1
127,6,127 -> 1
112,7,112 -> 1
113,7,113 -> 1
114,7,114 -> 1
115,7,115 -> 1
116,7,116 -> 1
117,7,117 -> 1
118,7,118 -> 1
119,7,119 -> 1
120,7,120 -> 1
121,7,121 -> 1
122,7,122 -> 1
123,7,123 -> 1
124,7,124 -> 1
125,7,125 -> 1
126,7,126 -> 1
127,7,127 -> 1
112,8,112 -> 1
113,8,113 -> 1
114,8,114 -> 1
115,8,115 -> 1
116,8,116 -> 1
117,8,117 -> 1
118,8,118 -> 1
119,8,119 -> 1
120,8,120 -> 1
121,8,121 -> 1
122,8,122 -> 1
123,8,123 -> 1
124,8,124 -> 1
125,8,125 -> 1
126,8,126 -> 1
127,8,127 -> 1
112,9,112 -> 1
113,9,113 -> 1
114,9,114 -> 1
115,9,115 -> 1
116,9,116 -> 1
117,9,117 -> 1
118,9,118 -> 1
119,9,119 -> 1
120,9,120 -> 1
121,9,121 -> 1
122,9,122 -> 1
123,9,123 -> 1
124,9,124 -> 1
125,9,125 -> 1
126,9,126 -> 1
127,9,127 -> 1
128,0,128 -> 1
128,1,80 -> 1
128,2,144 -> 1
128,3,112 -> 1
129,0,129 -> 1
129,1,81 -> 1
129,2,144 -> 1
129,3,113 -> 1
130,0,130 -> 1
130,1,82 -> 1
130,2,144 -> 1
130,3,114 -> 1
131,0,131 -> 1
131,1,83 -> 1
131,2,144 -> 1
131,3,115 -> 1
132,0,132 -> 1
132,1,84 -> 1
132,2,144 -> 1
132,3,116 -> 1
133,0,133 -> 1
133,1,85 -> 1
133,2,144 -> 1
133,3,117 -> 1
134,0,134 -> 1
134,1,86 -> 1
134,2,144 -> 1
134,3,118 -> 1
135,0,135 -> 1
135,1,87 -> 1
135,2,144 -> 1
135,3,119 -> 1
136,0,136 -> 1
136,1,88 -> 1
136,2,144 -> 1
136,3,120 -> 1
137,0,137 -> 1
137,1,89 -> 1
137,2,144 -> 1
137,3,121 -> 1
138,0,138 -> 1
138,1,90 -> 1
138,2,144 -> 1
138,3,122 -> 1
139,0,139 -> 1
139,1,91 -> 1
139,2,144 -> 1
139,3,123 -> 1
140,0,140 -> 1
140,1,92 -> 1
140,2,144 -> 1
140,3,124 -> 1
141,0,141 -> 1
141,1,93 -> 1
141,2,144 -> 1
141,3,125 -> 1
142,0,142 -> 1
142,1,94 -> 1
142,2,144 -> 1
142,3,126 -> 1
143,0,143 -> 1
143,1,95 -> 1
143,2,144 -> 1
143,3,127 -> 1
128,4,128 -> 1
129,4,129 -> 1
130,4,130 -> 1
131,4,131 -> 1
132,4,132 -> 1
133,4,133 -> 1
134,4,134 -> 1
135,4,135 -> 1
136,4,136 -> 1
137,4,137 -> 1
138,4,138 -> 1
139,4,139 -> 1
140,4,140 -> 1
141,4,141 -> 1
142,4,142 -> 1
143,4,143 -> 1
128,5,128 -> 1
129,5,129 -> 1
130,5,130 -> 1
131,5,131 -> 1
132,5,132 -> 1
133,5,133 -> 1
134,5,134 -> 1
135,5,135 -> 1
136,5,136 -> 1
137,5,137 -> 1
138,5,138 -> 1
139,5,139 -> 1
140,5,140 -> 1
141,5,141 -> 1
142,5,142 -> 1
143,5,143 -> 1
128,6,128 -> 1
129,6,129 -> 1
130,6,130 -> 1
131,6,131 -> 1
132,6,132 -> 1
133,6,133 -> 1
134,6,134 -> 1
135,6,135 -> 1
136,6,136 -> 1
137,6,137 -> 1
138,6,138 -> 1
139,6,139 -> 1
140,6,140 -> 1
141,6,141 -> 1
142,6,142 -> 1
143,6,143 -> 1
128,7,128 -> 1
129,7,129 -> 1
130,7,130 -> 1
131,7,131 -> 1
132,7,132 -> 1
133,7,133 -> 1
134,7,134 -> 1
135,7,135 -> 1
136,7,136 -> 1
137,7,137 -> 1
138,7,138 -> 1
139,7,139 -> 1
140,7,140 -> 1
141,7,141 -> 1
142,7,142 -> 1
143,7,143 -> 1
128,8,128 -> 1
129,8,129 -> 1
130,8,130 -> 1
131,8,131 -> 1
132,8,132 -> 1
133,8,133 -> 1
134,8,134 -> 1
135,8,135 -> 1
136,8,136 -> 1
137,8,137 -> 1
138,8,138 -> 1
139,8,139 -> 1
140,8,140 -> 1
141,8,141 -> 1
142,8,142 -> 1
143,8,143 -> 1
128,9,128 -> 1
129,9,129 -> 1
130,9,130 -> 1
131,9,131 -> 1
132,9,132 -> 1
133,9,133 -> 1
134,9,134 -> 1
135,9,135 -> 1
136,9,136 -> 1
137,9,137 -> 1
138,9,138 -> 1
139,9,139 -> 1
140,9,140 -> 1
141,9,141 -> 1
142,9,142 -> 1
143,9,143 -> 1
144,_,144 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
0,50,2 -> 1
0,51,2 -> 1
0,52,2 -> 1
0,53,2 -> 1
0,54,2 -> 1
0,55,2 -> 1
0,56,2 -> 1
0,57,2 -> 1
0,58,2 -> 1
0,59,2 -> 1
0,60,2 -> 1
0,61,2 -> 1
0,62,2 -> 1
0,63,2 -> 1
0,64,2 -> 1
0,65,2 -> 1
0,66,2 -> 1
0,67,2 -> 1
0,68,2 -> 1
0,69,2 -> 1
0,70,2 -> 1
0,71,2 -> 1
0,72,2 -> 1
0,73,2 -> 1
0,74,2 -> 1
0,75,2 -> 1
0,76,2 -> 1
0,77,2 -> 1
0,78,2 -> 1
0,79,2 -> 1
0,80,2 -> 1
0,81,2 -> 1
0,82,2 -> 1
0,83,2 -> 1
0,84,2 -> 1
0,85,2 -> 1
0,86,2 -> 1
0,87,2 -> 1
0,88,2 -> 1
0,89,2 -> 1
0,90,2 -> 1
0,91,2 -> 1
0,92,2 -> 1
0,93,2 -> 1
0,94,2 -> 1
0,95,2 -> 1
0,96,2 -> 1
0,97,2 -> 1
0,98,2 -> 1
0,99,2 -> 1
0,100,2 -> 1
0,101,2 -> 1
0,102,2 -> 1
0,103,2 -> 1
0,104,2 -> 1
0,105,2 -> 1
0,106,2 -> 1
0,107,2 -> 1
0,108,2 -> 1
0,109,2 -> 1
0,110,2 -> 1
0,111,2 -> 1
0,112,2 -> 1
0,113,2 -> 1
0,114,2 -> 1
0,115,2 -> 1
0,116,2 -> 1
0,117,2 -> 1
0,118,2 -> 1
0,119,2 -> 1
0,120,2 -> 1
0,121,2 -> 1
0,122,2 -> 1
0,123,2 -> 1
0,124,2 -> 1
0,125,2 -> 1
0,126,2 -> 1
0,127,2 -> 1
0,128,2 -> 1
0,129,2 -> 1
0,130,2 -> 1
0,131,2 -> 1
0,132,2 -> 1
0,133,2 -> 1
0,134,2 -> 1
0,135,2 -> 1
0,136,2 -> 1
0,137,2 -> 1
0,138,2 -> 1
0,139,2 -> 1
0,140,2 -> 1
0,141,2 -> 1
0,142,2 -> 1
0,143,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
1,50,2 -> 1
1,51,2 -> 1
1,52,2 -> 1
1,53,2 -> 1
1,54,2 -> 1
1,55,2 -> 1
1,56,2 -> 1
1,57,2 -> 1
1,58,2 -> 1
1,59,2 -> 1
1,60,2 -> 1
1,61,2 -> 1
1,62,2 -> 1
1,63,2 -> 1
1,64,2 -> 1
1,65,2 -> 1
1,66,2 -> 1
1,67,2 -> 1
1,68,2 -> 1
1,69,2 -> 1
1,70,2 -> 1
1,71,2 -> 1
1,72,2 -> 1
1,73,2 -> 1
1,74,2 -> 1
1,75,2 -> 1
1,76,2 -> 1
1,77,2 -> 1
1,78,2 -> 1
1,79,2 -> 1
1,80,2 -> 1
1,81,2 -> 1
1,82,2 -> 1
1,83,2 -> 1
1,84,2 -> 1
1,85,2 -> 1
1,86,2 -> 1
1,87,2 -> 1
1,88,2 -> 1
1,89,2 -> 1
1,90,2 -> 1
1,91,2 -> 1
1,92,2 -> 1
1,93,2 -> 1
1,94,2 -> 1
1,95,2 -> 1
1,96,2 -> 1
1,97,2 -> 1
1,98,2 -> 1
1,99,2 -> 1
1,100,2 -> 1
1,101,2 -> 1
1,102,2 -> 1
1,103,2 -> 1
1,104,2 -> 1
1,105,2 -> 1
1,106,2 -> 1
1,107,2 -> 1
1,108,2 -> 1
1,109,2 -> 1
1,110,2 -> 1
1,111,2 -> 1
1,112,2 -> 1
1,113,2 -> 1
1,114,2 -> 1
1,115,2 -> 1
1,116,2 -> 1
1,117,2 -> 1
1,118,2 -> 1
1,119,2 -> 1
1,120,2 -> 1
1,121,2 -> 1
1,122,2 -> 1
1,123,2 -> 1
1,124,2 -> 1
1,125,2 -> 1
1,126,2 -> 1
1,127,2 -> 1
1,128,2 -> 1
1,129,2 -> 1
1,130,2 -> 1
1,131,2 -> 1
1,132,2 -> 1
1,133,2 -> 1
1,134,2 -> 1
1,135,2 -> 1
1,136,2 -> 1
1,137,2 -> 1
1,138,2 -> 1
1,139,2 -> 1
1,140,2 -> 1
1,141,2 -> 1
1,142,2 -> 1
1,143,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
2,50,2 -> 1
2,51,2 -> 1
2,52,2 -> 1
2,53,2 -> 1
2,54,2 -> 1
2,55,2 -> 1
2,56,2 -> 1
2,57,2 -> 1
2,58,2 -> 1
2,59,2 -> 1
2,60,2 -> 1
2,61,2 -> 1
2,62,2 -> 1
2,63,2 -> 1
2,64,2 -> 1
2,65,2 -> 1
2,66,2 -> 1
2,67,2 -> 1
2,68,2 -> 1
2,69,2 -> 1
2,70,2 -> 1
2,71,2 -> 1
2,72,2 -> 1
2,73,2 -> 1
2,74,2 -> 1
2,75,2 -> 1
2,76,2 -> 1
2,77,2 -> 1
2,78,2 -> 1
2,79,2 -> 1
2,80,2 -> 1
2,81,2 -> 1
2,82,2 -> 1
2,83,2 -> 1
2,84,2 -> 1
2,85,2 -> 1
2,86,2 -> 1
2,87,2 -> 1
2,88,2 -> 1
2,89,2 -> 1
2,90,2 -> 1
2,91,2 -> 1
2,92,2 -> 1
2,93,2 -> 1
2,94,2 -> 1
2,95,2 -> 1
2,96,2 -> 1
2,97,2 -> 1
2,98,2 -> 1
2,99,2 -> 1
2,100,2 -> 1
2,101,2 -> 1
2,102,2 -> 1
2,103,2 -> 1
2,104,2 -> 1
2,105,2 -> 1
2,106,2 -> 1
2,107,2 -> 1
2,108,2 -> 1
2,109,2 -> 1
2,110,2 -> 1
2,111,2 -> 1
2,112,2 -> 1
2,113,2 -> 1
2,114,2 -> 1
2,115,2 -> 1
2,116,2 -> 1
2,117,2 -> 1
2,118,2 -> 1
2,119,2 -> 1
2,120,2 -> 1
2,121,2 -> 1
2,122,2 -> 1
2,123,2 -> 1
2,124,2 -> 1
2,125,2 -> 1
2,126,2 -> 1
2,127,2 -> 1
2,128,2 -> 1
2,129,2 -> 1
2,130,2 -> 1
2,131,2 -> 1
2,132,2 -> 1
2,133,2 -> 1
2,134,2 -> 1
2,135,2 -> 1
2,136,2 -> 1
2,137,2 -> 1
2,138,2 -> 1
2,139,2 -> 1
2,140,2 -> 1
2,141,2 -> 1
2,142,2 -> 1
2,143,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
3,50,2 -> 1
3,51,2 -> 1
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
3,64,2 -> 1
3,65,2 -> 1
3,66,2 -> 1
3,67,2 -> 1
3,68,2 -> 1
3,69,2 -> 1
3,70,2 -> 1
3,71,2 -> 1
3,72,2 -> 1
3,73,2 -> 1
3,74,2 -> 1
3,75,2 -> 1
3,76,2 -> 1
3,77,2 -> 1
3,78,2 -> 1
3,79,2 -> 1
3,80,2 -> 1
3,81,2 -> 1
3,82,2 -> 1
3,83,2 -> 1
3,84,2 -> 1
3,85,2 -> 1
3,86,2 -> 1
3,87,2 -> 1
3,88,2 -> 1
3,89,2 -> 1
3,90,2 -> 1
3,91,2 -> 1
3,92,2 -> 1
3,93,2 -> 1
3,94,2 -> 1
3,95,2 -> 1
3,96,2 -> 1
3,97,2 -> 1
3,98,2 -> 1
3,99,2 -> 1
3,100,2 -> 1
3,101,2 -> 1
3,102,2 -> 1
3,103,2 -> 1
3,104,2 -> 1
3,105,2 -> 1
3,106,2 -> 1
3,107,2 -> 1
3,108,2 -> 1
3,109,2 -> 1
3,110,2 -> 1
3,111,2 -> 1
3,112,2 -> 1
3,113,2 -> 1
3,114,2 -> 1
3,115,2 -> 1
3,116,2 -> 1
3,117,2 -> 1
3,118,2 -> 1
3,119,2 -> 1
3,120,2 -> 1
3,121,2 -> 1
3,122,2 -> 1
3,123,2 -> 1
3,124,2 -> 1
3,125,2 -> 1
3,126,2 -> 1
3,127,2 -> 1
3,128,2 -> 1
3,129,2 -> 1
3,130,2 -> 1
3,131,2 -> 1
3,132,2 -> 1
3,133,2 -> 1
3,134,2 -> 1
3,135,2 -> 1
3,136,2 -> 1
3,137,2 -> 1
3,138,2 -> 1
3,139,2 -> 1
3,140,2 -> 1
3,141,2 -> 1
3,142,2 -> 1
3,143,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
4,64,2 -> 1
4,65,2 -> 1
4,66,2 -> 1
4,67,2 -> 1
4,68,2 -> 1
4,69,2 -> 1
4,70,2 -> 1
4,71,2 -> 1
4,72,2 -> 1
4,73,2 -> 1
4,74,2 -> 1
4,75,2 -> 1
4,76,2 -> 1
4,77,2 -> 1
4,78,2 -> 1
4,79,2 -> 1
4,80,2 -> 1
4,81,2 -> 1
4,82,2 -> 1
4,83,2 -> 1
4,84,2 -> 1
4,85,2 -> 1
4,86,2 -> 1
4,87,2 -> 1
4,88,2 -> 1
4,89,2 -> 1
4,90,2 -> 1
4,91,2 -> 1
4,92,2 -> 1
4,93,2 -> 1
4,94,2 -> 1
4,95,2 -> 1
4,96,2 -> 1
4,97,2 -> 1
4,98,2 -> 1
4,99,2 -> 1
4,100,2 -> 1
4,101,2 -> 1
4,102,2 -> 1
4,103,2 -> 1
4,104,2 -> 1
4,105,2 -> 1
4,106,2 -> 1
4,107,2 -> 1
4,108,2 -> 1
4,109,2 -> 1
4,110,2 -> 1
4,111,2 -> 1
4,112,2 -> 1
4,113,2 -> 1
4,114,2 -> 1
4,115,2 -> 1
4,116,2 -> 1
4,117,2 -> 1
4,118,2 -> 1
4,119,2 -> 1
4,120,2 -> 1
4,121,2 -> 1
4,122,2 -> 1
4,123,2 -> 1
4,124,2 -> 1
4,125,2 -> 1
4,126,2 -> 1
4,127,2 -> 1
4,128,2 -> 1
4,129,2 -> 1
4,130,2 -> 1
4,131,2 -> 1
4,132,2 -> 1
4,133,2 -> 1
4,134,2 -> 1
4,135,2 -> 1
4,136,2 -> 1
4,137,2 -> 1
4,138,2 -> 1
4,139,2 -> 1
4,140,2 -> 1
4,141,2 -> 1
4,142,2 -> 1
4,143,2 -> 1
5,0,0 -> 0.75
5,0,1 -> 0.25
5,1,1 -> 0.75
5,1,0 -> 0.25
5,2,0 -> 0.75
5,2,1 -> 0.25
5,3,0 -> 0.75
5,3,1 -> 0.25
5,4,0 -> 0.75
5,4,1 -> 0.25
5,5,0 -> 0.75
5,5,1 -> 0.25
5,6,1 -> 0.75
5,6,0 -> 0.25
5,7,1 -> 0.75
5,7,0 -> 0.25
5,8,1 -> 0.75
5,8,0 -> 0.25
5,9,1 -> 0.75
5,9,0 -> 0.25
5,10,0 -> 0.75
5,10,1 -> 0.25
5,11,0 -> 0.75
5,11,1 -> 0.25
5,12,0 -> 0.75
5,12,1 -> 0.25
5,13,0 -> 0.75
5,13,1 -> 0.25
5,14,0 -> 0.75
5,14,1 -> 0.25
5,15,0 -> 0.75
5,15,1 -> 0.25
5,16,0 -> 0.687607
5,16,1 -> 0.312393
5,17,1 -> 0.687607
5,17,0 -> 0.312393
5,18,0 -> 0.687607
